7.100000000000000000e+01,7.900000000000000000e+01
7.329000000000000625e+01,7.801999999999999602e+01
7.612999999999999545e+01,7.690999999999999659e+01
7.840000000000000568e+01,7.590999999999999659e+01
8.120999999999999375e+01,7.498000000000000398e+01
8.406999999999999318e+01,7.400000000000000000e+01
8.629999999999999716e+01,7.321999999999999886e+01
8.948999999999999488e+01,7.240000000000000568e+01
9.265999999999999659e+01,7.168999999999999773e+01
9.587000000000000455e+01,7.129999999999999716e+01
9.834999999999999432e+01,7.129000000000000625e+01
1.014699999999999989e+02,7.098000000000000398e+01
1.047699999999999960e+02,7.045000000000000284e+01
1.082999999999999972e+02,7.040000000000000568e+01
1.116700000000000017e+02,7.001000000000000512e+01
1.158100000000000023e+02,6.962000000000000455e+01
1.191099999999999994e+02,7.001000000000000512e+01
1.228900000000000006e+02,6.998999999999999488e+01
1.269000000000000057e+02,6.985999999999999943e+01
1.308199999999999932e+02,7.021999999999999886e+01
1.352899999999999920e+02,7.043999999999999773e+01
1.397700000000000102e+02,7.073999999999999488e+01
1.443499999999999943e+02,7.112000000000000455e+01
1.484900000000000091e+02,7.170000000000000284e+01
1.528899999999999864e+02,7.226999999999999602e+01
1.574600000000000080e+02,7.348000000000000398e+01
1.623499999999999943e+02,7.409000000000000341e+01
1.675900000000000034e+02,7.498000000000000398e+01
1.729699999999999989e+02,7.606000000000000227e+01
1.785800000000000125e+02,7.706000000000000227e+01
1.841200000000000045e+02,7.801000000000000512e+01
1.900999999999999943e+02,7.943000000000000682e+01
1.960900000000000034e+02,8.114000000000000057e+01
2.020600000000000023e+02,8.298000000000000398e+01
2.083600000000000136e+02,8.431999999999999318e+01
2.144399999999999977e+02,8.595999999999999375e+01
2.204900000000000091e+02,8.815000000000000568e+01
2.271299999999999955e+02,8.998000000000000398e+01
2.334099999999999966e+02,9.228000000000000114e+01
2.399900000000000091e+02,9.543000000000000682e+01
2.465000000000000000e+02,9.865999999999999659e+01
2.536599999999999966e+02,1.017099999999999937e+02
2.596100000000000136e+02,1.053199999999999932e+02
2.655199999999999818e+02,1.087999999999999972e+02
2.721399999999999864e+02,1.127699999999999960e+02
2.781600000000000250e+02,1.170499999999999972e+02
